Kode,Nama Produk,Parameters,,,,,,,Baseline (Raw),,Smoothing (MA),,Smoothing (SG),,Dist. Normalization (BC),,Dist. Normalization (YJ),
,,p,d,q,P,D,Q,s,RMSE,MAPE,RMSE,MAPE,RMSE,MAPE,RMSE,MAPE,RMSE,MAPE
A208,BISCUIT KELAPA MUDA,1,1,2,1,0,2,12,11.117508371954118,24.114299591132845,12.891903621706279,38.800479326198314,11.988639158758595,35.27861610794834,12.621880838886,25.66185515381391,12.62189356008724,25.66186899947948
A210,MILK COOKIES,1,0,0,1,0,1,12,2.858302673065373,20.315245754811347,3.1490092863187065,23.192761885514454,2.4253582945741963,18.21612308746311,2.8112782553741384,20.25732062508795,2.8112773675720955,20.257314516092986
A212,PEANUT CREAM,0,0,0,2,0,0,12,0.6969600582428724,31.89434210306903,1.0983228549535684,56.018027092911105,1.3070710906030953,60.16437469396971,0.7198095140373958,33.51607725917296,0.7198095111228717,33.51607710302901
A213,MARIE SUSU,3,1,2,0,0,1,3,8.339181220185573,12.987560027793869,11.45987930150793,15.060936151440771,9.9853787787569,15.434496713703863,7.671632143145664,11.516485627628636,7.671576786472467,11.516302943374757
A240,SQUARE PUFF,4,1,4,0,1,2,6,1.171506152957876,22.23230323448578,1.5517594328535087,30.4169955581003,1.5442863298552891,35.77754333452691,1.220070674069888,20.36057411489588,1.2202826421579902,20.35433043396129
A242,ROASTED CHICKEN,0,0,3,0,1,2,6,2.5114249090590874,19.751517865531184,3.2099725432325266,23.179519964804506,2.924502535408853,21.81827253695833,2.5413750627250358,20.002284142163816,2.5413749381770496,20.002282180861563
A243,ROASTED CORN,1,0,0,2,0,0,2,25.820960936581056,15.38369021839435,37.136425971531224,23.068150073245285,44.15463184960944,27.92791675410527,25.02010439695318,13.614569262763585,25.020104318712818,13.61456921310458
A244,PINEAPPLE CREAM,0,1,3,2,1,0,2,1.0141694344946357,25.585333137464172,1.6760996734849172,34.83430346659744,2.056912054546742,45.40929971047483,1.0138230274092357,25.589995195532957,1.0138230696883883,25.589995261417993
A245,TOASTY CHEESE,1,0,2,1,1,0,12,1.9290449181034093,15.712664954750386,2.736235593129615,21.37757177805466,3.3194219150466515,22.25738156827447,1.896228469421055,15.780506871545711,1.8962243944160786,15.78048039827928
A247,ANEKA SQUARE PUFF,2,0,0,1,0,0,6,106.73214563099614,35.45715088944294,203.13893433674767,77.94148989944983,164.84436689454745,32.602539396622284,121.57863555216186,44.59679787815966,121.5771949962013,44.59615095537657
A249,CHOCO CREAM,1,1,4,0,1,2,6,3.5519561013839698,26.49330422284232,3.7981998128741505,31.79034514257488,3.7766577840418942,31.069335253516,3.6983735529114825,27.83482226231516,3.685134586567435,27.759566193641245
A250,MALKIST CRACKERS,1,1,1,0,1,0,2,3.246099222658194,20.527299742813064,5.556888302974744,34.09582167253997,5.874511847049262,48.5994003398081,3.2795925959768746,20.792896003629505,3.2795925997309174,20.792895451205094
A251,ANEKA CREAM CRACKERS,0,1,0,0,0,2,2,50.498479997025996,35.44362532001448,144.45520629017594,118.81570151249858,74.39377096594357,58.1861786878571,59.38972383600153,35.16809888838954,59.38972392676822,35.168098823648606
A256,SEE HONG MB,4,1,4,0,0,0,2,6.789027332876483,31.65332381941191,8.086415288460525,34.7149512711395,7.623907620124945,34.5133248545311,6.762390507548542,31.69907640296431,6.761844209453921,31.697839518112474
A262,ROSE CREAM,3,1,3,2,0,2,12,2.1067322921081226,18.148753539005757,2.0381550291858854,16.300406078090425,2.3311157781212333,17.79699746997304,2.1284149701294734,17.583283290477013,2.128296404022982,17.58196677785171
A263,COCOA PUFF,0,1,3,1,1,2,12,2.1508712337412814,30.358855747648967,3.5329796341285187,65.12311482520259,4.1860283621254775,73.92075241134927,4.078570065536468,67.93003393100028,4.078539106197686,67.92950616336165
A265,LAFERO CHO WAFER,4,1,4,1,1,0,6,1.6487103400358074,22.289204422616727,2.370353105543661,35.06013168651063,2.541386078736588,28.387705568727,1.6584670715140066,22.3279328035373,1.6587314278887724,22.328311266961567
A280,CRISPY CRACKERS,2,0,0,2,0,2,12,34.84969821405221,24.310381933365598,45.270978482542056,32.58325805045158,37.656127087279025,26.136294832254954,39.3626592875088,28.35417460878396,39.362509500416046,28.354075545050605
A300,ROASTED CORN,0,0,1,2,0,2,12,18.011039523670988,13.508177213639403,27.482585371561424,25.238591053290328,25.057040640819544,22.918242995122455,26.254424724981654,24.459903866186075,26.255134253532855,24.460643774128936
A303,TOASTY CHEESE,3,0,0,0,0,1,2,4.222717807748303,18.495802069595538,5.579015880041127,24.064701510262786,5.411225666766862,22.724542672838798,4.22346799881322,18.36654096472503,4.223468016821529,18.36654091862395
A305,AIM. GABIN COKELAT,2,1,0,0,1,0,12,3.1986178490785293,12.314021691471925,5.721150775453864,26.36180952446658,3.5485919515422175,13.215675771469963,3.4170292498566326,13.445562148820384,3.417036561653498,13.445598744375312
A402,ROASTED CORN 35 gr,3,0,2,1,1,2,12,60.725644739891905,25.214289629542158,58.31190235736517,24.9188625120108,76.99293166863572,33.37581444126249,60.60792004226976,26.19533243814885,60.60897757938193,26.19595677444952
A600,RASA COCONUT,0,0,4,0,0,2,12,11.769902483235349,124.19240203739147,40.684036739149484,277.82294823595043,28.261728898144195,108.8124459304619,18.491663169981923,112.12222402790113,18.49166317189137,112.12222401282463
A601,RASA DURIAN,3,0,4,0,1,0,12,21.915513906396942,178.74139353873522,29.950631960585707,216.07875803768314,29.470371940169183,211.137888245776,23.5996253937444,140.78311807352853,23.59956720123174,140.7827745322467
A602,CRISPY CRACKERS MINI,4,0,4,2,0,0,12,14.452967264870814,12.241026301869539,18.9643414509943,15.322149675380011,20.439211104837067,16.913810868540153,14.56977006120982,12.418477969326041,14.569729096573136,12.418199578284932
A603,GOOD MORNING WAFER,4,0,2,2,0,1,12,15.783842682394216,77.55786679617269,14.957221530317378,58.7935525892526,7.205003971981981e+44,6.675187172355155e+44,20.02303739419087,71.2753177221873,20.023428881773363,71.2753219231416
A604,ANEKA ASSORTED,1,1,4,0,0,2,12,16.88168500645509,99.07171287196327,28.539821774009866,211.59582499650728,26.430344851295892,195.39366584351586,25.32504315143739,66.9426327673237,25.325044513816025,66.94263114744777
A609,ANEKA ASSORTED MINI TIN,1,1,1,0,0,2,12,8.502972626132607,90.94172878727382,12.226523031902117,108.85428379140471,18.00018366642279,123.81718035423945,11.430184253441327,45.840097564182464,11.430180183425366,45.840074935750465
A614,CRISPY CRACKERS TIN,0,1,3,2,1,2,12,14.979907907627958,69.90463920814912,80.40072195962841,238.3121977461651,61.77364655330917,252.73349928386094,16.589054286685805,43.91059979530677,16.589878740608345,43.915484747364054
A616,LAFERO CHOCOLATE WAFER ROLL,1,1,2,2,1,0,6,11.646220406805693,122.66547961520595,19.667452925625547,248.34119961176074,11.821430212274374,160.3482087235854,16.421949306780704,72.20930608272712,16.33625203317031,72.16770130173501
K100,MARIE SUSU,2,1,0,0,1,0,12,20.786704564202633,11.817092957264313,28.270326934892704,16.615332749444395,28.06699050362447,15.438349885123678,33.164748867265075,19.387884253397637,33.16463026798094,19.38782910565486
K101,SUPER MALKIST,4,0,3,0,1,1,6,3.8153866553544837,36.532255286611495,4.839732428402988,52.222956910964456,4.185482517069285,43.03152549347241,4.107093088101737,40.00558772525604,4.107112716230195,40.00547961390114
K102,ROSE CREAM,0,0,2,1,1,2,3,13.240152324949914,26.887425676555804,16.471281415841023,30.908372766746524,15.942890274402043,37.01767012919191,14.88161974850151,29.387609574817347,14.881623669965727,29.38809156597557
K103,ROSE CHOCOLATE,4,1,3,2,0,0,12,14.11653958792285,31.583243519073257,16.170091605511814,31.24433576602548,14.966957322201548,31.63362383012481,15.813281204632723,31.595843401458705,15.81325662331633,31.595814871302025
K107,BUTTER COCONUT 100 GR,4,1,3,1,0,2,6,221.37532437012206,135.44850382411477,271.23252210517654,140.83710504913444,256.11766172149805,125.03210841717089,223.8362724199347,134.2238166752587,223.835955966977,134.22274092652913
K108,DURIAN BISCUIT 100 GR,4,1,0,2,1,2,6,9.782605404497659,21.649150094654278,14.228728105836609,26.926311082336163,19.729966185843672,37.82000121635837,9.95559237945539,22.257456849878924,9.94874025342235,22.253085688351472
K109,ROSE CREAM 100GR,0,1,3,1,1,2,12,6.399841424211985,22.779980932821243,9.369806211660256,32.574026808808135,11.441958797950637,34.75326578689959,6.455766718704017,22.14552465829518,6.45576921154187,22.145526311282936
K110,ROSE CHOCOLATE MINI 90gr,2,1,1,0,0,2,3,6.884608087580205,32.240306815121464,10.410389079143428,32.8584258562924,11.457344354763553,39.820831562617464,9.761837912399665,36.8323869951493,9.761837996648083,36.83238774104935
K123,WAFER CHOCOLATE,3,1,2,1,0,2,12,21.041939908205507,15.403505902578738,22.717713540292483,16.556919173714974,22.56652088584736,16.655748699756565,20.991603687202907,15.641488033569853,20.99192897657264,15.641448041187415
K126,WAFER STRAWBERRY,4,1,3,2,1,0,12,9.344408578897228,27.733800889825837,11.359531361073403,34.015710368970105,9.751072653804114,26.955176131523068,9.190307420075944,26.487626318005457,9.1905923429022,26.488320705967
K127,WAFER PANDAN,4,0,2,2,1,2,12,10.247849737730567,19.451063206162356,12.167517927760262,25.507486835084375,11.462407978687363,25.536888234685957,10.175236438988883,22.69459907738304,10.139930472603105,22.594358336970352
K128,WAFER VANILLA+SUSU,4,0,3,0,1,0,6,6.31151048278244,17.567242270550622,7.909369367655215,19.66479289171549,7.350830045070515,19.330719729206937,6.270297105246365,17.563032510758703,6.270296970664255,17.563031368575523
K180,KANGGURU SQ 18,4,0,2,0,0,1,3,3.1683860996325777,15.838435984431806,4.996173557515906,23.42765945960783,6.21072813112329,31.009377563931224,3.1726968903641897,15.53311587964428,3.1601561970652994,15.512068968145906
K205,BUNGA GEM,0,0,3,1,0,1,12,1.837165338369241,17.618960951560467,2.681740705076737,27.25709615924945,2.4997532982411506,19.942458935426103,2.008938811562393,18.718399333072032,2.008938224005302,18.718399219275874
K240,BON BON,2,1,1,0,0,2,6,3.9818032885696826,56.01288108643796,4.634552527896866,58.167970806119776,4.562629912481734,61.75904344179206,4.961626168888053,57.39711327934217,4.961626101872403,57.39711132597619
K253,KACANG CRACKERS,4,1,4,1,1,0,6,12.393168089939302,70.40074395246094,21.600401986817648,84.47473418409274,17.9576060863135,84.86118793488157,14.196903047404755,82.35638975801533,14.197723963618163,82.36908356417617
K400,DURIAN STICK,2,1,3,0,1,2,12,141.02504014530174,188.57594059673346,220.86754829862096,500.9551699721399,149.7592399613322,153.47810763158546,1730.2891054195625,605.386836107288,1730.2825115229193,605.3864818184832
K401,DURIAN BISCUIT,2,0,3,0,1,0,6,36.46681965584299,348.23375883102455,50.84767303512796,429.25528468918566,45.93990210000571,208.6856874375811,63.347360771716026,232.37960597744478,63.347431110459354,232.3764911853082
K402,BUNGA GEM,3,1,4,2,0,2,12,16.67092387050139,78.17988032474274,29.042888054492703,116.4295311910438,21.049974193437883,90.46402513349867,20.850447235044964,86.48549027597565,20.845369154552174,86.5490045582024
K604,KGR ASSORTED SEGI,1,1,4,2,0,0,12,3.2996588125464448,166.8960298845206,6.156616700776783,224.40419780825414,9.373286364445605,451.71880764133914,4.94256848115035,87.41376652353064,4.766352178061605,79.57425113109211
K801,COCOA PUFF,4,1,2,2,0,1,12,6.153978733379796,15.205378625092353,8.268928909589503,22.523829560022843,7.046598069854036e+73,7.264922698501039e+73,8.89112817272312,23.93150881101976,8.890172585486981,23.92857993874585
K802,BUTTER COCONUT,3,0,4,2,1,2,6,10.199634049686262,24.91841449401624,11.430468059717482,28.311907250137708,11.642450461790288,27.71065420582277,10.187806150175183,25.653943909253446,10.17724287366808,25.631541043559263
M300,GABIN MASTER,4,1,4,1,0,1,6,35.23716504497501,22.187337656611074,42.72330292203976,26.52396697928412,50.67033209828786,28.195761465760366,35.72440525302832,23.41245759871927,35.72373353960458,23.411699165792246
S120,GABIN SUPER,2,1,3,2,0,2,12,6.6129836455483115,18.361730895298148,11.266751050995286,36.02675236740288,8.73908259017691,27.98237475421007,6.174629229284073,15.907861997377818,6.174639939469671,15.90838480775246
S121,GABIN OAT,2,1,4,0,1,1,6,4.392631810799925,17.224623371519712,6.346371583224879,24.915470853313966,6.814711991647076,28.30675355404752,4.1719452643679364,18.358974708000332,4.171946219266457,18.358906924297877
S122,GABIN COKELAT,3,0,3,0,0,2,6,2.1904013488350564,17.591171863372608,3.2582803893185535,25.703716252293557,3.1938634301919917,27.830876763214157,2.5704777419942872,17.648942502372634,2.524837821151317,17.967102827489136
